ID,title,summary,comments
358,SWIG signature mismatch at RecordWriter,I tried to run the example tensorflow g3doc how tos reading data convert to records.py but there is an error saying function signature mismatch on the bool WriteRecord tensorflow StringPiece record call. My swig version is SWIG Version 1.3.40 A simple fix is to change bool WriteRecord tensorflow StringPiece record to bool WriteRecord const string record for these two files , StringPiece is faster than string in some cases so we don t want to change the signature in that way. Can you add the full error message Also what happens if you change tensorflow StringPiece to just tensorflow StringPiece i.e. remove the Removing the solves the problem. Thanks As a reference following is the TypeError with . Thanks I ll fix this in the code. 
378,matmul gradients incorrect with complex64 tensors,The conjugation step was skipped. See https tensorflow review.googlesource.com c 1154 for unit tests and a fix ,Thanks for the fix We ll try to get that reviewed and integrated soon. vrv Are you on this or should I grab it Sorry was supposed to assign this to zffchen78 ZF can you review https tensorflow review.googlesource.com c 1154 vrv zffchen78 What happened to this It was submitted to gerrit but it broke the build so we had to roll it back. So I guess this is back to contributions welcome For whoever looks at this next I fixed tf.test.compute gradient error a while ago to handle complex64 input so it should be easy to test this change. girving Did you get a chance to test the fix Can you please post your findings This will help to resolve update the status of this issue. ymodak The fact that I fixed tf.test.compute gradient error means that others can easily test the fix. I m not going to do it myself. mborgerding Can you please test the fix and post your findings This will help to resolve update the status of this issue. Sigh ... almost three years after a issue was described unit tests were provided and a fix was given. Sorry I don t have the time right now to go back and set my computer back up to verify this. I seem to recall that it has been fixed but I am only 95 sure of this since it has been years. Closing this issue since the fix has been made. 
391,Fatal error in TileOps invalid combination,I have an RNN I adapted from the PTB example that works fine on CPU. But when I try to run it on a GPU it dies with F tensorflow core kernels tile ops.cc 131 TileOp Invalid combination of Device DT and NDIM N5Eigen9GpuDeviceE float 0 I m guessing this is complaining about a 0 dimensional tensor What s going on ,https github.com tensorflow tensorflow blob 9c3043ff3bf31a6a81810b4ce9e87ef936f1f529 tensorflow core kernels tile ops.cc L383 Looks like it girving is there a fix on the way or is this something more fundamental Tile is a nop for scalars so we just need to copy the input to the output. Eigen can stay broken. Fix in review. Fixed. bndnn Thank you for reporting Thanks for the quick attention When can I expect the fix to hit github Or I m happy to pull from googlesource.com if that ll happen faster. We push to github googlesource at the same time I ll try to upstream our commits in a few hours. Awesome Thanks 
444,Python3 bug filter has no len,I have build the latest source a5d8217c4ed and I tried running the mnist tutorial. This fails with File l psmit tensorflow env py3 lib python3.4 site packages tensorflow python ops gradients.py line 447 in gradients if gate gradients and len filter None in grads 1 TypeError object of type filter has no len A filter in py3 is not a list so it has not length. This could be solved by changing https github.com tensorflow tensorflow blob master tensorflow python ops gradients.py L447 to e.g. sum 1 for in filter ,Good catch. We should fix this and add a unit test. Fix in review. 
449,TF code crashes python kernel,The following piece of code crashes the Python kernel. I realize it s not right for one thing I m not feeding it a feed dict but it should give an error and not crash the kernel. ,Nice catch Yes that is a bad bug. I have this fixed at the kernel level so it won t crash anymore. However I could also fix it at the shape inference level so it throws a Python exception at graph construction time. To do this I d need to make tf.Dimension insist on nonnegative input. vrv Do you think that s wise I d be a bit worried that negative dimensions are used somewhere but it s currently a bit inconsistent that C TensorShape requires nonnegative but Python TensorShape does not. C part in review. I m not sure yet if its wise the C TensorShape class thinks about shapes more concretely it doesn t support unspecified dimensions 1 shape inference etc. I think when we push shape inference down into the C code we ll likely have a C class that more closely represents what the python TensorShape class does. Cool I m happy to leave it the way it is now that the C is fixed. try using numpy befor importing tensorflow or keras 
466,tf.unsorted segment sum exits without error message if segment ids contains negative number.,When running tf.unsorted segment sum data segment ids num segments name None and passing a tensor containing 1 as segment ids tensorflow just exits without error message. I m on the current master. Desired behavior in my case would be to these values are rejected i. e. are not summed anywhere at all. Would it make sense to extend this method this way And if not can you give me an idea how to implement this behavior ,Using 1 to reject is interesting but it turns coding errors into silent incorrect behavior so I m leery of doing it. For now you could replace 1s with a positive value represent an ignored class and then drop it. It would be reasonable to add a boolean drop negatives attr to ignore negative values defaulted to false to preserve the existing error detection behavior. Ah but the fact that it exits without the error message is a bad bug. I ll fix the bug part now. Thanks for the fix I ll open a new issue with my feature request. 
481,Error Running cifar10 train.py in Ver 0.6.0 ,The cifar 10 demo ran fine under 0.5.0 but gives errors under 0.6.0 I rolled back to 0.5.0 and confirmed this . Also cifar10 multi gpu train.py works under 0.6.0 as well as 0.5.0. The output I m getting when running cifar10 train.py in 0.6.0 is attached. I m running under Ubuntu 14.04. error.txt https github.com tensorflow tensorflow files 59525 error.txt ,Apologies we ve noticed this internally and fixing it. Fixed today. Will be available in next release. 
505,Momentum and Adagrad don t work with reshape and embeddings,Momentum and Adagrad optimizers do not work when I use tf.reshape like this The code above works with SGD and AdamOptimizer. With Momentum or Adagrad it produces this error This might be connected to 464 the error is similar and also appears with Momentum and Adagrad. When I replace the tf.reshape with following code the error disappears ,I ll try to track down this issue. Tomas would you be able to write a self contained example that fails with this error including a definition of the input any size constants and the momentum optimizer itself Indeed the graph where I had the bug 464 was also using this mix of embedding layer and reshape. So I might have misinterpreted and there is actually two bugs one with tf.reshape and Momentum and Adagrad and the other with tf.nce loss and RMSProp... I will try to check further... Here is a small self contained example that demonstrates the issue This is the smallest example I was able to write. Embeddings seem to be an important part of the problem. On further investigation this looks like a bug in tf.gather s gradient when the indices are 1 dimensional. I m working on a fix and it should be available shortly. Nice. Thank you. 
521,resize image with crop or pad doesn t work with input pipelines,Because tf.image.resize image with crop or pad requires its input to have a fully defined shape it s not useful as part of an input pipeline since the size of images loaded will not be known in advance. Ideally the above would work... ,Yes that s a bug. I needed to use the method resize image with crop or pad as part of an input pipeline and ran into a similar issue. I m not yet proficient enough with TensorFlow to tell if this is useful. I made a small workaround for personal use. If this workaround would be a route to use in fixing this issue I d be happy to update the tests docs and change out the logic in the existing implementation. If anyone can advise on its usefulness I d appreciate the feedback. Example Implementation of resize image with crop or pad https gist.github.com eerwitt 51aba4bffd9ddd5c581c file resize image with crop or pad pipeline py L6 eerwitt It works flawlessly thanks. Send a PR On Wed Feb 10 2016 at 11 25 AM Pouya Samangouei notifications github.com wrote eerwitt https github.com eerwitt It works flawlessly thanks. Reply to this email directly or view it on GitHub https github.com tensorflow tensorflow issues 521 issuecomment 182539003 . So any news to solve the problem Other than the workaround posted above no. Here is a monkey patching module based on PR https github.com tensorflow tensorflow pull 2737 resize image patch.py https gist.github.com gaohuazuo 4093eee2aee4d5b8746bff698506ee57 file resize image patch py Note Remember to pass argument dynamic shape True Input image must have static rank of 3. This can be done by tf.Tensor.set shape None None None Looks like the issue has been fixed by PR 2737. Maybe this issue could be closed Thanks 
528,tf.image.resize images and resize method should work with single image as well as batch,Or at least not transparently do the wrong thing with the resulting shape. At present it s necessary to image tf.expand dims image 0 and then squeeze it before passing to resize. ,I ve submitted a fix that corrects the broken case of this. There was a missing squeeze if the input image was the same size as the desired output. aselle I am encountering this again where image is a single image prints out Tensor DecodeJpeg 0 shape 3 dtype uint8 
539,Bug report easy 1 line fix.,filename tensorflow python framework ops.py def set shapes for outputs op Uses the registered shape functions to set the shapes for op s outputs. try shape func shape registry.lookup op.type except LookupError try shape func default shape function registry.lookup op.type except LookupError raise RuntimeError No shape function registered for standard op s op.type shapes shape func op if len op.outputs len shapes raise RuntimeError Shape function for op s returned g shapes but expecting g op len op.outputs len shapes for output s in zip op.outputs shapes output.set shape s The call of Shape function for op s returned g shapes but expecting g is reversed should be op len op.shapes len outputs i swapped the shapes and outputs ... took me awhile to debug an unrelated bug because i was getting the wrong debug message ,Submit a pull request 
540,Extract glimpse has no shape function,I m receiving this error when calling tf.image.extract glimpse No shape function registered for standard op ExtractGlimpse Could someone confirm that this is a problem with the API itself If so how can I go about implementing a solution ,I found this was a problem too and hacked a solution together by registering a shape for it Thanks a lot can I just run this once in my own code or do I have to paste it into some of the tensorflow files I ve found an almost identical piece of code in usr local lib python2.7 dist packages tensorflow python ops attentions ops.py It must be that the code isn t being called correctly how did you fix this Or in which file should the code be pasted Thanks for reporting this there is a bug in the imports for this code. I m working on a fix and it should be available soon. 
649,translate.py empty buckets sets will crash,If the dev set does not contain all the string related to all the buckets the script will crash. Eg. If the dev set does not contain a string between 20 and 25 words the script will crash. translate.py around line 178 I think that before that line you should had add an if to avoid that ,marcotrombetti please do send a PR with a fix. encounter same issue as marcotrombetti I just send a PR with fix keveman 1496 looks like the PR fixed this 
686,tf.Fill has no gradient. Was ValueError No inputs provided when creating optimizer seems like a bug ,I am in the process of implementing a version of BinaryConnect in tensorflow and ran into this weird crash. I pasted a simple example to demonstrate the crash. Seems that line w tf.select draws mx fill mx fill is causing the problem when the optimization graph is being constructed. ,Sorry I don t know what is going wrong here. I ll see if I can get someone to look at it. a the code is broken it uses tf.types.float32 which should just be tf.float32. b The problem is because when you re doing the tf.select draws mx fill weights you re potentially sending the gradients to the result of tf.fill . Fill has no gradient registered. Fill should have a gradient. Hang on. Fixed. Should be pushed here within a day. Thanks for catching this Thanks for the quick turnaround guys look forward to the update just to confirm it got pushed in the above commit so it s available at HEAD now 
889,Large Strides for 1x1 Convolutions,When a conv2d operator has a stride greater than the kernel size the following error is thrown ValueError stride must be less than or equal to filter size stride 2x2 filter Dimension 1 xDimension 1 This makes implementing the 1x1 convolutions used to reduce spatial resolution in several papers MSRA 2015 among others awkward. Also a convolution with stride greater than kernel size may be unusual but is it still well defined. Fixing this may be as simple as removing this assertion. Thanks to everyone who developed TensorFlow it s a fascinating tool. ,I think this has been called atrous convolution at least in the Eigen code. Does anybody know whether cudnn supports this zheng xq I don t think Cudnn supports convolutions for stride larger than 1. Not sure the FFT algorithm they were using would still be correct. On Tue Jan 26 2016 at 10 56 AM Vijay Vasudevan notifications github.com wrote I think this has been called atrous convolution at least in the Eigen code. Does anybody know whether cudnn supports this zheng xq https github.com zheng xq Reply to this email directly or view it on GitHub https github.com tensorflow tensorflow issues 889 issuecomment 175176178 . I stand corrected. The stride larger than 1 should be supported by Cudnn. I was looking at upscalex instead. it s not just stride 1 it s stride the input patch. E.g. skipping regions of the input. vincentvanhoucke just corrected me atrous is introducing holes in the input patch so the input has holes . So it s different. I don t know if our eigen CPU implementation supports stride input patch. If it does and cudnn does too we can remove this assertion. FYI last week I did try to look at this and cudnn appeared to give different results than I expected eigen was correct for both CPU and GPU . Not yet sure whether this is a bug in cudnn or how we were calling it. The same error is thrown when calling tf.nn.max pool or tf.nn.avg pool with stride greater than filter size. I hit this bug while trying implement ResNet. I m working around it by using a 2x2 kernel with all but the top left zeroed out. https github.com ry tensorflow resnet blob 2775805c4c4af3a3a082100c36a2b2f77791df4d convert.py L119 L122 ry I used resize nearest neighbour to circumvent that problem https github.com cesarsalgado tensorflowed blob master models residual nets.py L46 Or you could also use average pooling for sub sampling although it will not be exactly what the paper proposes. I m marking this a bug since it really should work. Also contributions welcome. See also the recent duplicate 1815. martinwicke I d like to take a look at fixing it because I m hitting this still. But I ve never hacked on TF before if you could give a rough outline of what s involved it d help ry I wish I could still find my code. I remember Eigen doing something consistent across GPU and CPU and expected and cudnn doing something different and seemingly wrong but I might have introduced a bug. The best thing to start with is via a test add a simple test to conv ops test.py that exercises say a 1x1 convolution with input depth 1 and output depth 1 for a 1x3x3x1 input with stride 2 so you get four values the corners multiplied by a filter . If you try to run that you ll first run into a problem doing conv2d shape inference in python because it checks for stride filter remove that and make sure that the shape calculation is correct. Then you ll probably have to make the same fix in the C code https github.com tensorflow tensorflow blob master tensorflow core kernels ops util.cc L41 to remove that check. Other than that I don t think there was anything else I had to do to get the calls to run but that s when I started seeing different output and didn t have time to debug. It s possible it has something to do with padding or the shape inference difference between us and cudnn. Happy to help how I can. 
897,gradient of tf.floor, It looks like the gradient of tf.floor x w.r.t x is 1. But I m expecting it to be 0 as in theano. Right now I could use a double casting as a work around but why is it different ,Yes the gradient of floor is always zero. Well almost always. Should it be as simple as changing in python ops math grad.py Yes changing it to return None would be the fix. Thanks. Could you explain why None is preferred over 0 I observed that the gradient of tf.cast tf.cast vif tf.int32 tf.float32 is also None that s why I added vif in the example code. None will be treated by the gradient code as no connection which is mathematically equivalent to zero but faster since it will never construct large zero matrices. There s some related discussion here 783. 
1102,AttributeError module object has no attribute Copy on fully connected.py. Built from source on 15th February.,I built from source on 15th February. I can run cifar10 train.py with the warning during training as stated here. https github.com tensorflow tensorflow issues 1076 I can run the convolutional mnist with no problems. However when I try fully connected.py this error shows up. Traceback most recent call last File fully connected feed.py line 228 in module tf.app.run File usr local lib python2.7 dist packages tensorflow python platform default app.py line 30 in run sys.exit main sys.argv File fully connected feed.py line 224 in main run training File fully connected feed.py line 130 in run training data sets input data.read data sets FLAGS.train dir FLAGS.fake data File usr local lib python2.7 dist packages tensorflow examples tutorials mnist input data.py line 198 in read data sets local file maybe download TRAIN IMAGES train dir File usr local lib python2.7 dist packages tensorflow examples tutorials mnist input data.py line 42 in maybe download tf.gfile.Copy temp file name filepath AttributeError module object has no attribute Copy I have also tried uninstalling and reinstalling TensorFlow. I don t think it s a problem with the installation since some examples run properly. Anyone else facing this too ,This looks like a bug a missing function that we need to implement. Thanks for reporting. Thanks for the fix. I have verified that Copy is back. But it s still missing Open. File usr local lib python2.7 dist packages tensorflow examples tutorials mnist input data.py line 57 in extract images with tf.gfile.Open filename as f gzip.GzipFile fileobj f as bytestream AttributeError module object has no attribute Open Yep I have another fix for that coming. 
1105,cifar10 not running,Execution tracebacks of cyfar10.py and cifar10 train.py python cifar10.py python cifar10.py Using tensorflow v 0.6 Titan GPU configured for GPU usage as per instruction in setup. ,Something similar with MNIST TF built from source from scratch 10 minutes ago master branch Traceback most recent call last File home expr.py line 133 in module mnist input data.read data sets MNIST data File usr local lib python2.7 dist packages tensorflow examples tutorials mnist input data.py line 199 in read data sets train images extract images local file File usr local lib python2.7 dist packages tensorflow examples tutorials mnist input data.py line 57 in extract images with tf.gfile.Open filename as f gzip.GzipFile fileobj f as bytestream AttributeError module object has no attribute Open Extracting MNIST data train images idx3 ubyte.gz Process finished with exit code 1 I fixed the latter one I m not sure why the former is happening. You shouldn t be running cifar10.py it s a library called by the other executables. Note that you have to build from sources to get the fix. Our first post 0.7 binary release will likely get this fix. I m confused by the post 0.7 part as far as I can see the 0.7 branch is still behind in some aspects to master you have already built the 0.7 release binaries Yeah the binaries are being built right now we can maybe make a patch release with these fixes I expect we re going to want a protobuf fix in the patch release too . In the instructions says https www.tensorflow.org versions v0.6.0 tutorials deep cnn index.html That the following needs to be executed to train the network python cifar10 train.py Is this fixed now If you build from sources at HEAD yes. updating tensorflow install with sudo pip install upgrade https storage.googleapis.com tensorflow linux cpu tensorflow 0.7.1 cp27 none linux x86 64.whl fixed the cifar10 issue. PS for my case I am using the CPU version. 
1121,AttributeError module object has no attribute gfile in 0.7.0 Fixed in source will be in next binary release ,I m on an Ubuntu machine installed tensorflow and ran the image processing example as in the website but it failed complaining about gFile not found Here s the exception stack ,Same here got this error when running cifar10 eval.py My guess is that you are running source code from HEAD with a pip install from 0.6.0. Either check out the code at the same branch tag as the pip install or compile from sources at HEAD to use code at head. Let me check that thanks for looking into it. I had the same problem executing the file classify image.py. Changing the branch to 0.6.0 solved this problem. Thanks akhld Kecksdose Yes using r0.7.0 and run cd tensorflow models image mnist python convolutional.py will have this problem. When changing to 0.6.0 no this problem. So the temporary fix for this is to use 0.6.0 for TensorFlow Try upgrading to 0.7.1 pip uninstall tensorflow pip uninstall protobuf pip install path to 0.7.1.wheel It works fine on 0.8 Was with this error to run ptb word lm.py in the old version. Really after upgrading worked properly thanks 
1123,Error encountered when serializing moving average variables,I compiled Tensorflow from source. Running cifar10 train.py outputs the following warning message WARNING tensorflow Error encountered when serializing moving average variables. Type is unsupported or the types of the items don t match field type in CollectionDef. unbound method to proto must be called with Variable instance as first argument got Tensor instance instead ,Also shlens in case he knows. Having the same issue. And the training command hangs. In fact even the mnist example on setup page hangs too. Thanks for pointing out this warning It s benign for the training process but unfortunate to have this in an example model. I have a patch in the pipeline that will fix the root cause for the warning. Issue Cleanup 
1135,Saver errors in 0.7.0,In 0.7 there are different errors about Saver first Warnings in serialization such as moving averages or dictionaries and then it throws an OS Error But this is working well in 0.6.0 so Saver might have some issues in 0.7.0 ,Thanks for reporting this bug You can safely ignore the warnings which are related to the new MetaGraphDef support. If you want to be able to serialize your collections and avoid this warning you can call the tf.register proto function function https github.com tensorflow tensorflow blob 03bff43060229357cbe2cc1659e7d129c2799b06 tensorflow python framework ops.py L3447 for your collection. The OSError is a bigger problem and is caused by an incompatibility between our internal and external tf.gfile.MakeDirs functions. As a temporary workaround prepend . to the save path argument when calling Saver.save . I have a change in the pipeline that will fix this error. If someone can validate that the above commit fixes the problem with Saver that would be appreciated I was able to run cifar10 train.py with no problems after the above commit . It is working fine now thanks 
