ID,title,summary,comments
3709,random uniform for int32 broken on GPU, tf.random uniform with dtype tf.int32 always produces 106199773 on GPU. Environment CentOS 7 TensorFlow 0.9.0 GTX TITAN X CUDA 7.5 NVIDIA 367.27 ,This is likely caused by conversion between float and int. That does seem like a bug but it will be hard for us to reproduce since we don t have CentOS machines and it doesn t seem to happen on what we do have. Would you be up for investigating further Yes I would like to. Have you had a chance to do any more experiments to try to isolate the problem A system reboot seems to fix the problem for a few days. I will make more investigation the next time I have a chance. Thanks for the update let us know if you find anything else. 
4162,contrib.layers TypeError optimize loss got an unexpected keyword argument summaries ,Trying to provide a custom list of summaries to tf.contrib.layers.optimize loss fails Tested on a fresh 0.10.0rc0 install as well as in the tensorflow tensorflow nightly docker image. Little mystified by how this is occuring since the it s correct in source. I suspect it has something to do with everything being brought into the layers namespace. ,Just checked with current version 0.11rc1 doesn t seem to have this issue. Please re open if it still persists on your side. 
7306,OutOfRangeError Early EOF on file read in Windows Server 2012,Hi folks I am finding that tensorflow code snippets which ran on Windows 10 are failing on Windows Server 2012 NTFS. In particular anytime I try to load a file with tf.gfile.Open tf.gfile.FastGFile or tf.contrib.slim.assign from checkpoint fn I encounter an out of range error. What related GitHub issues or StackOverflow threads have you found by searching the web for your problem I found Git issue 6791 Contrib support for Windows https github.com tensorflow tensorflow issues 6791 where it was suggested that the fault lies with contrib packages. However the code sample I provide below displays the problem without using any contrib imports. Environment info Operating System Windows Server 2012 R2 Installed version of CUDA and cuDNN N A please attach the output of ls l path to cuda lib libcud If installed from binary pip package provide 1. A link to the pip package you installed tensorflow 0.12.1 cp35 cp35m win amd64.whl https pypi.python.org packages 64 a3 0054a3329579de44d557f491adbcaf8127809a7992bc46af80f0a589e29b tensorflow 0.12.1 cp35 cp35m win amd64.whl 2. The output from python c import tensorflow print tensorflow. version . 0.12.1 If possible provide a minimal reproducible example We usually don t have time to read hundreds of lines of your code A similar error is encountered when reading a text file and a more complicated DataLossError occurs when trying to load a model from a checkpoint but the trace includes references to out of range errors so I assume the same underlying problem is responsible . The same code snippet gives no error and returns the image byte data when run on the same version of Tensorflow on Windows 10 also NTFS . What other attempted solutions have you tried I can workaround this problem for images and text files by using native Python to read the files. However I really need to use tensorflow built ins to e.g. read a trained model from a checkpoint. Logs or other output that would be helpful If logs are large please upload as attachment or provide link . See above for output of MWE. Thanks very much for your help , mrry Do we support Windows Server 2012 NTFS I doubt the issue is related to a specific release of Windows but it could be a bug in the file io.py library which AFAIK doesn t distinguish between text and binary files modes r versus rb and I think this can invalidate file length checks. rohan100jain Can you take a look at this mawah Can you share a minimal text file that reproduces this problem on Windows Sure thing mrry the following generates a text file and shows the error thrown Edit to clarify this throws an error on my Windows Server 2012 Azure N series GPU VM but not on my local Windows 10 computer. Did you manage to resolve this issue I am facing the same problem on Windows Server 2012. Sorry chadland no progress yet. Not sure if rohan100jain or mrry need more information to repro the problem Thanks for letting me know mawah Unfortunately I don t have easy access to a Windows Server 2012 box so I haven t been able to reproduce the problem you are seeing. There is no obvious platform dependence in the file io library that would explain different behavior on Windows Server 2012 and Windows 10. rohan100jain since you wrote that library can you suggest what steps could be useful to debug this further mawah based on my high level understanding of the file system code the problem stems from a mismatch between the length of the file as reported by file io.stat https github.com tensorflow tensorflow blob 1bbb52426bd4f8046400731100b11e9ca767d303 tensorflow python lib io file io.py L470 and the number of bytes that can be read from the file. When I ran your program labels.txt is 10 bytes on disk presumably because the n becomes r n and the string read back in has length 10 and contains the added r characters . Since you have access to both platforms can you try to identify where the mismatch creeps in Thanks mrry I also get a length of 10 using file io.stat on both Windows 10 and Windows Server 2012 with the code snippet below Evidently the problem lies elsewhere. I m not sure where to find the definition of pywrap tensorflow which I would have examined next...thought it would be defined under the site packages tensorflow python directory but I m having trouble locating it. Thanks for checking that. Does the file also have size 10 if you dir it at the command prompt Can you also try printing each individual character of that file using code like the following I d expect this to crash with an error when it eventually goes beyond the end of the file but it would be interesting to learn where this happens.... Thanks again mrry. This certainly cleared up something for me. The following fails regardless of whether the filepath is relative or absolute and I did double check that the file is still present ...which fully explains the origin of the OutOfRangeError on attempting to read from the file. Unsurprisingly I got that error again if I simply tried to read from f one character at a time. Any idea why tf.gfile.Open would return an object of class tensorflow.python.platform.gfile.GFile and read check passed set to true but still have read buf None Okay so one bug clearly is that the tell method https github.com tensorflow tensorflow blob master tensorflow python lib io file io.py L147 needs to do a preread check and not just check for read check passed. That should fix the problem with Tell . It should look like... def tell self Returns the current position in the file. self. preread check return self. read buf.Tell I ll send out that fix. This still doesn t solve the problem that you experienced earlier I think .. I agree with mrry that the file sizes somehow are the culprit... FYI the pywrap tensorflow method comes from file io.i SWIG wrapping the c interface . The C implementation is in core platform env.cc core platform file system.cc. Hopefully this might help you debug more if you want to dig into it further. When you read it one byte at a time.. where did it crash Hi rohan100jain and mrry I added a call to f. preread check . Even so looks like the for loop crashes while trying to read the first byte Output The same error occurs in window 7 64bit. Output mnist input data.read data sets . MNIST DATA one hot True File C Users LEE Documents Visual Studio 2015 Projects PythonApplication1 deepLearning input data.py line 196 in read data sets train images extract images local file File C Users LEE Documents Visual Studio 2015 Projects PythonApplication1 deepLearning input data.py line 64 in extract images buf bytestream.read rows cols num images File H Util Anaconda3 lib gzip.py line 274 in read return self. buffer.read size File H Util Anaconda3 lib compression.py line 68 in readinto data self.read len byte view File H Util Anaconda3 lib gzip.py line 467 in read buf self. fp.read io.DEFAULT BUFFER SIZE File H Util Anaconda3 lib gzip.py line 82 in read return self.file.read size File H Util Anaconda3 lib site packages tensorflow python lib io file io.py line 112 in read return pywrap tensorflow.ReadFromStream self. read buf length status File H Util Anaconda3 lib contextlib.py line 66 in exit next self.gen File H Util Anaconda3 lib site packages tensorflow python framework errors impl.py line 469 in raise exception on not ok status pywrap tensorflow.TF GetCode status tensorflow.python.framework.errors impl.OutOfRangeError reached end of file mrry and rohan100jain if limited access to a Windows environment prevents you from investigating this I could set up a low performance Azure VM with my monthly personal MSDN credits. Couldn t run it all month but certainly long enough for you to have a look. You can reach me at mawah at microsoft if interested. I remember seeing above gzip trace above back in October and there was some discussion about eof semantic in ReadFromStream . Just tried my old test app again and it fails but seem to work linux. I can debug this a little ... might take a day or 2 before I get to it spend some time on this smartdolphin I can reproduce the same exception on 0.12.1 but on 1.0 this is gone. Could you update to 1.0 pip install upgrade tensorflow and see if this works for you mawah I can t reproduce your problem. I ll send you some email if we can debug this in your setup. Hi folks the error was resolved by upgrading to Tensorflow 1.0.0 which has been released in the meantime . Closing this issue. Do we have a solution work around in Windows 10 Issue still exists in Windows 10 Tensorflow 1.0.1 GPU AttributeError Traceback most recent call last ipython input 6 415a7deab32c in module 1 with tf.gfile.GFile train.x.txt r as f 2 print f.tell I d expect this to print zero but who knows 3 for in range 10 4 print f.read n 1 c program files python35 lib site packages tensorflow python lib io file io.py in tell self 140 raise errors.PermissionDeniedError None None 141 File isn t open for reading 142 return self. read buf.Tell 143 144 def enter self AttributeError NoneType object has no attribute Tell oldmonk101 This bug tell raising an AttributeError if called before read or write was present in all versions of TensorFlow up to 1.0.1 but is fixed in 1.1. Upgrading to the 1.1 release candidate or nightly version will fix the problem. Tried Tensorflow 1.1.0 rc0 f.tell is giving right result 0 . f.size is still throwing OutOfRangeError 
7320,Tensorflow freezes for a small model in Windows 10, What related GitHub issues or StackOverflow threads have you found by searching the web for your problem I have not been able to find any related information. I did post a SO thread http stackoverflow.com questions 41889147 tensorflow execution freezes for a small cnn and got the suggestion that I may have encountered a bug. Environment info Operating System Windows 10 home edition Installed version of CUDA and cuDNN None. Was using the CPU version. please attach the output of ls l path to cuda lib libcud If installed from binary pip package provide 1. A link to the pip package you installed https storage.googleapis.com tensorflow windows cpu tensorflow 0.12.1 cp35 cp35m win amd64.whl 2. The output from python c import tensorflow print tensorflow. version . 0.12.1 If possible provide a minimal reproducible example We usually don t have time to read hundreds of lines of your code Attached as Issue example code.txt A brief explanation of the issue Training freezes as I slightly increase the model size. For the attached code using 50 50 for the two fully connected layers would work but going slightly larger e.g. to 100 50 would result in execution freezing after model initialization or a few rounds of training. It does not seem to be constrained by memory since when the freeze occurs the Python process takes around 50MB of memory as observed from task manager while when the training runs for smaller sizes it takes GB range of memory. What other attempted solutions have you tried None as I was unable to find related info by searching and I myself does not understand the possible cause of this issue. Logs or other output that would be helpful If logs are large please upload as attachment or provide link . Issue example code.txt https github.com tensorflow tensorflow files 756669 Issue example code.txt ,Can you get us a stack trace from where it freezes This isn t enough information to guess at a cause. A Python stack trace would be a starting point just hit ctrl c or whatever the windows equivalent is. girving Actually the ctrl c doesn t work in this case the console execution simply stays frozen. I had to forcibly close the console or kill the process to terminate the execution. Is there another good way to gather more info The ideal would be to run it through a debugger. You could also try adding print statements until you localize it but it ll be hard to get below the Python level with those. mrry Do you have suggestions for Windows debugging I ve mainly used Visual Studio for debugging on Windows. The free Community edition should be able to attach to your frozen process and gather a stack trace. I have stepped through my code in the IDLE debugger and gotten the following stack trace main . module line 87 l1 l2 predictions session.run optimizer loss loss reg train prediction feed dict feed dict tensorflow.python.client.session .run line 766 run metadata ptr tensorflow.python.client.session . run line 964 feed dict string options run metadata tensorflow.python.client.session . do run line 1014 target list options run metadata tensorflow.python.client.session . do call line 1021 return fn args tensorflow.python.client.session . run fn line 1003 status run metadata The execution then freezes at line 1001 when I tried to step into tf session.TF Run ... there. Should I go deeper pengd49 Yes unfortunately TF Run is where everything happens so it isn t specific enough yet. girving If I understand it correctly the TF Run is ultimately defined in the file pywrap tensorflow.pyd right I m sorry I am inexperienced in debugging a pyd file. From what I found online it seems I will need to try to compile and generate a version of the pyd with debug flag in order to debug it pengd49 TF Run is where essentially everything happens. All it means is that the error is somewhere in C code. Automatically closing due to lack of recent activity. Please update the issue when new information becomes available and we will reopen the issue. Thanks 
7896,Issue with while loop in tf.scan,Hello I have recently updated to the newest version of tensorflow v1.0 and am suddenly having some trouble when I use tf.scan. I have already tried setting shapes for all of the variables. Which didn t work Don t really know what else i could do since that is the solution that is recommended for the error in tf.while loop... Here is the code snippet h z tf.scan self.sample x initializer h0 tf.expand dims z0 1 Where h0 is 256 90 z0 is expanded to 256 1 and x is None 256 400 . It worked in the previous version so I am assuming the trouble is related to the tf.scan code. ValueError The shape for scan while Merge 2 0 is not an invariant for the loop. It enters the loop with shape 256 1 but has shape 256 after one iteration. Provide shape invariants using either the shape invariants argument of tf.while loop or set shape on the loop variables. ,I have fixed my problem by adding an additional expand dims and an additional squeeze at the end. However I find it curious that it still produced this error in the new version whereas it didn t in the previous one. yuanbyu any ideas I am facing the exact same error. Relevant code below The error i receive is ValueError The shape for scan while scan while Merge 1 0 is not an invariant for the loop. It enters the loop with shape 2 2 but has shape unknown after one iteration. Provide shape invariants using either the shape invariants argument of tf.while loop or set shape on the loop variables. RiaanZoetmulder could you please elaborate exactly where you added the additional expand dims and squeeze to resolve the error Thanks Bhuwan bdhingra RiaanZoetmulder I met the same question exactly as you described. Could you give me some advice about how to fix this problem 
8277,Different Code Path Taken in conv2d for Constant vs Variable Filter,It appears that a different code path is taken in conv2d for Constant vs Variable filters. On a box with GPU this works however this fails with Check failed data format FORMAT NHWC Generic conv implementation only supports NHWC tensor format for now. Both of these work the data format is supported and I don t see a reason for the Constant filter to take what I am guessing is a less efficient code path not using GPU op than the Variable Filter. To make things even weirder it seems like even though the GPU is not being used for the Constant there is still cuda memcpy . Run on 20 calls ,Is there any way to convert a pre trained NCHW weight into NHWC and load it into the same graph What do you mean Weights are always stored the same way. tfboyd Any ideas Hi cancan101 I ve a net graph with some conv2D and maxPool operations declared using NCHW format. I ve trained the net on GPUs and created some checkpoints. The graph and the model works well on GPUs when you test by restoring the checkpoints. Now I want to test the same code graph on CPU. The same net graph is not working because the conv2D and maxPool operations do not run since they were declared using NCHW. I m getting the following error So I ve modified the net so that the operations are declared using NHWC format. Is it possible to restore the same checkpoint weights with this new net graph without retraining the new graph that has NHWC ops finally I want to freeze the graph and have a standalone graph with weights to run test forward pass. I was not able to create a standalone graph using checkpoints I ve got when I trained me NCHW graph and use the standalone graph on CPU for testing running forward pass Is there a way to do it It has been 14 days with no activity and this issue has an assignee.Please update the label and or status accordingly. I tried with tensorflow gpu v1.4.0 and wasn t able to reproduce this issue. Close for now. Please feel free to reopen it if you think the issue still exists. 
8701,InvalidArgumentError using tf.learn and eval,See https github.com google seq2seq issues 103 for details and user logs. TLDR I m using tf.learn and for some people the evaluation fails with shape errors. This seems to be some kind of GPU memory sharing issue as subsequent runs seem to consistently increase the shape size Evaluation works independently when there is no training in progress. It also doesn t happen when using the CPU only. I personally have run into similar issues before then multiple processes were trying to share the GPU but that shouldn t be the case here., dennybritz can you identify which line of python caused this error My guess is this is related to the argument reorder on metrics... from the TensorFlow release notes. So go find those and insert explicit keyword argument labels appropriately and it should fix it. Let me know if that fixes you problem. Thanks I don t think that is the issue. All arguments are named and it only happens to some users I don t have this problem myself . Also if you read the original issue you can see that some users managed to fix it by disabling bucketing or reducing the dev data. It looks very much like some kind of GPU memory issue to me. I m sorry I missed that. I ve seen many examples of shape errors being caused by that change so it is worth a shot. Since this issue links to a incomplete summary and then 4 more issues which are themselves just blobs of erros it s pretty hard to follow what is going on. Let me ask a few clarifying questions since you ve spent a good deal of time looking at this it appears. 1. What versions of TensorFlow are people using compiled from source from the master branch is not useful since master changes all the time. 2. Did all of them manage to run it on CPU only successfully 3. What versions of CUDA are people using Maybe there is a pattern. 4. What is the command I can run to try this example Where is the code 1. 1.0.0 or 1.0.1 The code only works with that version. 2. The people I ve talked to yes. But I will try to ask more. 3. Not sure will try to ask. 4. The command in this tutorial https google.github.io seq2seq nmt So this seems to be related to train and evaluate in tf.learn see https github.com google seq2seq issues 103 issuecomment 293796457. It seems like the only solution right now is to monkeypatch the Experiment class This has the patch https github.com google seq2seq pull 173 Did you mean to reopen Yes. I patched it in my code but that doesn t seem right. I wonder what the official solution is. On Mon Apr 17 2017 at 3 59 PM drpngx notifications github.com wrote Did you mean to reopen You are receiving this because you modified the open close state. Reply to this email directly view it on GitHub https github.com tensorflow tensorflow issues 8701 issuecomment 294619545 or mute the thread https github.com notifications unsubscribe auth AAYmvTlOCPdaVSYW6UmaSTRNSCvMiV88ks5rw 63gaJpZM4MoqzO . OK I wonder if it s best to use the seq2seq thread or this one. sguada what do you think of this issue It appears that it is related to tf.learn . Automatically closing due to lack of recent activity. Since this issue is old at this point please reopen the issue if it still occurs when tried with the latest version of Tensorflow. Thank you. I meet the same problem. TF versio 1.3.1 python version 3.5.2 code https gist.github.com jinyu121 2c2e22f984a993a86f11f1be98f1d14c Sorry for the Chinese comments... It s just my note data the flower dataset used in tensorflow examples data convert create train and test TXT file with the format image path image label log log.log https github.com tensorflow tensorflow files 1351702 log.log 
9895,XLA Aborted core dumped ,OS Ubuntu Linux 16.04 TensorFlow Compiled from source TensorFlow Version r1.1 Bazel Version 0.4.5 CUDA CuDNN Versions 8.0 5.1 GPU Model Memory TitanX 12Gb After turning on XLA JIT compiling TF fails with a core dump. ,Thanks for reporting Do you have a simple script to repro CC tatatodd I am implementing the IRNN https arxiv.org pdf 1504.00941v2.pdf paper but the RNN layer runs really slow which prompted me to give XLA a try. I have done my best to simplify the code as much as possible. I hope this helps. Hey tatatodd could you take a look when you get a chance Thanks Ali Hi Guys Just checking in Any progress on this issue Cheers Tom I m also running into this problem. I m running into this problem too when I run the mnist softmax xla.py. I m also seeing this problem on Ubuntu 16.04 Linux ppc64le platform with tensorflow 1.1.0 built with XLA enabled. Any update on this It s an easily reproduced issue that makes using XLA impossible but there hasn t been anyone assigned to this ticket. Apologies on the long delay. I m taking a look at this now. BTW if anyone who s running into this problem has a smaller repro script that would be appreciated. I believe wj1066 reported that he s having the same issue with mnist softmax xla.py https github.com tensorflow tensorflow blob master tensorflow examples tutorials mnist mnist softmax xla.py . I tried to simplify the script I provided above but not sure I can make it any simpler. Thanks for looking into this issue. thomasquintana I replicated your issue on TF 1.1.0 build with XLA enabled using the python program you provided. FYI the CHECK failure indicates a logical error in the compiler I also tried the same thing on TF 1.2.0 rc2 and the failure goes away. Looking through the commit history of algebraic simplifier.cc there have been many changes to the code. I did not identify exactly which change fixed the problem. So the solution is to use TF 1.2.0 rc2 or later. As a reminder different TF releases can be found here https hub.docker.com r tensorflow tensorflow tags I m closing this out if you feel this doesn t resolve the issue just comment on this thread and I ll re open. Your CPU supports instructions that this TensorFlow binary was not compiled to use AVX2 FMA 2019 03 09 16 58 39.308046 W tensorflow compiler xla service platform util.cc 240 unable to create StreamExecutor for CUDA 0 failed initializing StreamExecutor for CUDA device ordinal 0 Internal failed call to cuDevicePrimaryCtxRetain CUDA ERROR OUT OF MEMORY out of memory total memory reported 11523260416 2019 03 09 16 58 39.308242 F tensorflow stream executor lib statusor.cc 34 Attempting to fetch value instead of handling error Internal no supported devices found for platform CUDA Aborted core dumped tensorflow deeplab deeplab X399 DESIGNARE EX Tracy FasterRCNN tf faster rcnn master Attempting to fetch value instead of handling error Internal no supported devices found for platform CUDA Attempting command not found Deprecated in favor of operator or tf.math.divide. 2019 07 11 12 42 06.524160 I tensorflow core platform cpu feature guard.cc 141 Your CPU supports instructions that this TensorFlow binary was not compiled to use AVX2 FMA 2019 07 11 12 42 11.226602 W tensorflow compiler xla service platform util.cc 240 unable to create StreamExecutor for CUDA 0 failed initializing StreamExecutor for CUDA device ordinal 0 Internal failed call to cuDevicePrimaryCtxRetain CUDA ERROR OUT OF MEMORY out of memory total memory reported 11523260416 2019 07 11 12 42 11.399046 F tensorflow stream executor lib statusor.cc 34 Attempting to fetch value instead of handling error Internal no supported devices found for platform CUDA Aborted core dumped this is the error appearing need help 2019 10 31 14 55 52.525459 I tensorflow core platform cpu feature guard.cc 141 Your CPU supports instructions that this TensorFlow binary was not compiled to use AVX2 FMA 2019 10 31 14 55 52.625544 W tensorflow compiler xla service platform util.cc 240 unable to create StreamExecutor for CUDA 0 failed initializing StreamExecutor for CUDA device ordinal 0 Internal failed call to cuDevicePrimaryCtxRetain CUDA ERROR OUT OF MEMORY out of memory total memory reported 4236312576 2019 10 31 14 55 52.625882 F tensorflow stream executor lib statusor.cc 34 Attempting to fetch value instead of handling error Internal no supported devices found for platform CUDA Aborted core dumped 
17130,Java SIGSEGV when Tensors.create ing from an uninitialized array, System information Have I written custom code as opposed to using a stock example script provided in TensorFlow yes OS Platform and Distribution e.g. Linux Ubuntu 16.04 macOS 10.13.3 JRE version Java TM SE Runtime Environment 8.0 121 b13 build 1.8.0 121 b13 TensorFlow installed from source or binary maven TensorFlow version use command below 1.4.0 Python version N A Bazel version if compiling from source N A GCC Compiler version if compiling from source N A CUDA cuDNN version N A GPU model and memory N A Exact command to reproduce Describe the problem Using Tensors.create to get a Tensor String from an uninitialized 2D byte array byte results in a SIGSEGV from JNI. See full log below. Source code logs When running the above test case I get the following output. I m not familiar enough with JNI in general to know if I m expecting too much. I won t be surprised if you mark this wontfix I was just surprised to be able to crash the process with a segfault given some bad data. Easy enough to work around I will size init my arrays more carefully but thought you might want to know. Cheers Thanks so much for this library ,Thanks very much for the report Yes this is indeed a bug it should not be possible to cause the JVM to segfault when using the Java API . Will send a fix shortly. 
23413,Models cannot be loaded, System information What is the top level directory of the model you are using Have I written custom code as opposed to using a stock example script provided in TensorFlow Yes written a simple MWE script OS Platform and Distribution e.g. Linux Ubuntu 16.04 Linux Ubuntu 18.04.1 TensorFlow installed from source or binary Compiled from source TensorFlow version use command below 1.11.0 Python version 3.6.6 Bazel version if compiling from source 0.16.1 GCC Compiler version 7.3.0 CUDA cuDNN version Cuda 9.2.148 cuDNN 9.2 v7.3.1.20 GPU model and memory GeForce GTX1080Ti 11GB Exact command to reproduce Minimal working example code Describe the problem Returns the following output error included Same is true for all other models that are being trained Source code logs Output of tf env attached tf env.txt https github.com tensorflow models files 2535750 tf env.txt ,After some testing the problem can be resolved by replacing the model with But it seems strange that replacing that replacing the ReLU solves the issue and the error is quite unclear . fchollet PTAL Hi all I am experiencing the same problem. However simply replacing layers.RelU with layers.Activation relu does not yield the same training result in my case. Of course I checked if I randomized the data in a non deterministic way but in all usages of randomization I explicitely set the seed to the same value. Is there a systematic difference between ReLU and Activation relu which I fail to see Thanks for your help I was able to execute your code snippet successfully using TF 1.13.0 rc0 Thanks 
